45.90.30.142,NextDNS
45.90.28.142,NextDNS

209.244.0.4,Level3
209.244.0.3,Level3
4.2.2.6,Level3
4.2.2.5,Level3
4.2.2.4,Level3
4.2.2.3,Level3
4.2.2.2,Level3
4.2.2.1,Level3

64.6.65.6,Verisign
64.6.64.6,Verisign

8.8.4.4,Google
8.8.8.8,Google

149.112.112.112,Quad9
9.9.9.9,Quad9

84.200.70.40,DNSWatch
84.200.69.80,DNSWatch

8.20.247.20,Comodo
8.26.56.26,Comodo

208.67.220.220,OpenDNS
208.67.222.222,OpenDNS

199.85.127.10,Norton
199.85.126.10,Norton

195.46.39.40,SafeDNS
195.46.39.39,SafeDNS

216.146.36.36,Dyn
216.146.35.35,Dyn

77.88.8.1,Yandex
77.88.8.8,Yandex

74.82.42.42,HE

156.154.71.1,Neustar
156.154.70.1,Neustar

1.0.0.1,Cloudflare
1.1.1.1,Cloudflare

210.2.4.8,China NIC
1.2.4.8,China NIC

223.6.6.6,Alibaba
223.5.5.5,Alibaba

218.30.118.6,China Tel
101.226.4.6,China Tel

117.50.22.22,OneDNS
117.50.11.11,OneDNS

114.114.115.115,114DNS
114.114.114.114,114DNS

180.76.76.76,Baidu

80.80.81.81,Freenom
80.80.80.80,Freenom

119.29.29.29,DNSPod
